"APPID","三方门店ID","门店ID","预估峰值","预估消息量","餐厅名称"
"5339","9100878","9100878",100,200,"喜三德甜品•手工芋圆（清湖店）"
"5339","9718850","9718850",100,200,"贡茶•手抓饼•小吃（上城店）"
"5339","9325142","9325142",100,200,"古御贡茶●手抓饼●小吃（南城店）"
"5339","10196203","10196203",100,200,"喜三德甜品•手工芋圆（湛江旗舰店）"
"5339","6829734","6829734",100,200,"荼小兮（奶茶·手抓饼·小吃）"
"5339","10177204","10177204",100,200,"古御贡茶•手抓饼•小吃(江北店)"
"5339","10376620","10376620",100,200,"古御贡茶●手抓饼●小吃（白云新城店）"
"5339","9123504","9123504",100,200,"喜三德甜品•手工芋圆（曹杨路店）"
"5339","10289760","10289760",100,200,"古御贡茶•手抓饼•小吃（常平店）"
"5339","9282209","9282209",100,200,"贡茶•手抓饼•小吃（世纪城店）"
"5339","10224276","10224276",100,200,"古御贡茶•手抓饼•小吃（洪山店）"
"5339","9355348","9355348",100,200,"喜三德甜品•手工芋圆（新安店）"
"5339","9808200","9808200",100,200,"古御贡茶•手抓饼•小吃（新田店）"
"5339","9995398","9995398",100,200,"喜三德甜品•手工芋圆（塘厦店）"
"5339","10515109","10515109",100,200,"喜三德甜品•手工芋圆（禅城店）"
"5339","10148759","10148759",100,200,"喜三德甜品•血糯米奶茶•手工芋圆（余杭店）"
"5339","9207176","9207176",100,200,"喜三德甜品•手工芋圆（大石店）"
"5339","8981890","8981890",100,200,"喜三德甜品•手工芋圆（荔城店）"
"5339","10134903","10134903",100,200,"喜三德港式甜品•手工芋圆（郑州旗舰店）"
"5339","9820648","9820648",100,200,"贡茶•手抓饼•小吃（惠东店）"
"5339","9921225","9921225",100,200,"贡茶●手抓饼●小吃（南昌旗舰店）"
"5339","10417267","10417267",100,200,"喜三德甜品•手工芋圆（常平店）"
"5339","10479865","10479865",100,200,"古御贡茶•手抓饼•小吃（京山店）"
"5339","7779873","7779873",100,200,"喜三德甜品•手工芋圆（东门店）"
"5339","10076509","10076509",100,200,"喜三德甜品•手工芋圆（狮岭店）"
"5339","9833613","9833613",100,200,"喜三德港式甜品•手工芋圆（义乌店）"
"5339","9479893","9479893",100,200,"喜三德甜品•手工芋圆（虎门店）"
"5339","4206971","4206971",100,200,"古御贡茶•手抓饼•小吃（双龙店）"
"5339","10488755","10488755",100,200,"古御贡茶•手抓饼•小吃（长沙店）"
"5339","9882817","9882817",100,200,"古御贡茶•手抓饼•小吃（徐东店）"
"5339","10231556","10231556",100,200,"古御贡茶·手抓饼·小吃（陈江店）"
"5339","9249572","9249572",100,200,"喜三德甜品•手工芋圆（石岩店）"
"5339","10106799","10106799",100,200,"喜三德甜品•手工芋圆（石井店）"
"5339","9624308","9624308",100,200,"贡茶•手抓饼•小吃（未来方舟店）"
"5339","9324887","9324887",100,200,"喜三德甜品•手工芋圆（长安店）"
"5339","10083564","10083564",100,200,"喜三德甜品•手工芋圆（新生店）"
"5339","6119122","6119122",100,200,"古御贡茶•手抓饼•小吃（龙岗爱联店）"
"5339","9760342","9760342",100,200,"古御贡茶•手抓饼•小吃（武昌店）"
"5339","9412662","9412662",100,200,"古御贡茶•手抓饼•小吃（嘉禾店）"
"5339","9062221","9062221",100,200,"古御贡茶•手抓饼•小吃（新安店）"
