"id","food_name","food_price","is_delete","update_date"
8240,"多芒小丸子【必抢】$",3.5,0,"2020-11-03T03:08:04.000Z"
8241,"杨枝甘露$",5.225,0,"2020-12-17T03:07:36.000Z"
8285,"狼牙土豆$",3.008,0,"2020-12-16T08:45:30.000Z"
8286,"芝士焗番薯$",3.8,0,"2020-11-11T09:55:34.000Z"
8343,"雪花球【1粒】$",0.36,0,"2020-12-16T09:41:37.000Z"
8575,"藤椒琵琶腿$",3.5,0,"2020-11-03T03:08:04.000Z"
8610,"火腿烤冷面$",2.631,0,"2020-12-17T02:21:23.000Z"
8745,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T10:09:58.000Z"
8750,"乌冬面+牛筋丸4粒$",2.818,0,"2020-12-16T09:17:53.000Z"
8755,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T10:44:53.000Z"
8946,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T10:47:24.000Z"
8963,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T10:52:14.000Z"
8989,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T10:53:17.000Z"
9006,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T10:54:28.000Z"
9017,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T10:57:39.000Z"
9042,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T11:03:45.000Z"
9053,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T11:05:57.000Z"
9064,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T11:08:06.000Z"
9078,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T11:19:12.000Z"
9094,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T11:23:41.000Z"
9105,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-07T11:28:31.000Z"
9186,"车仔面+咖喱鱼丸5粒$",2.912,0,"2020-12-16T09:24:19.000Z"
9188,"车仔面+牛筋丸4粒$",2.912,0,"2020-12-16T09:24:19.000Z"
9189,"酸辣粉+咖喱鱼丸5粒$",2.877,0,"2020-12-16T08:25:33.000Z"
9190,"酸辣粉+火山石烤纯肉肠1根$",2.877,0,"2020-12-16T08:25:33.000Z"
9191,"酸辣粉+牛筋丸4粒$",2.877,0,"2020-12-16T08:25:33.000Z"
9204,"??招牌芋圆【超人气推荐】",3.81,0,"2020-11-11T10:49:53.000Z"
9673,"??招牌烧仙草【爆品！料超多！】",2.858,0,"2020-12-08T13:43:00.000Z"
9677,"??招牌芋圆【超人气推荐】",3.81,0,"2020-12-08T13:43:00.000Z"
